,Elapsed Time,Fund
0,0 days 04:00:00,300000
1,0 days 08:00:00,842000
2,0 days 08:30:00,842000
3,0 days 11:30:00,1212000
4,0 days 13:45:00,1387000
5,0 days 14:00:00,1387000
6,0 days 14:30:00,1387000
7,0 days 15:30:00,1552000
8,0 days 17:00:00,1616000
9,0 days 18:39:00,1762000
10,0 days 18:39:00,1762000
11,0 days 18:40:00,1762000
12,0 days 18:40:00,1762000
13,0 days 18:40:00,1762000
14,0 days 18:50:00,1762000
15,0 days 19:04:00,1762000
16,0 days 19:08:00,1762000
17,0 days 20:42:00,1809000
18,0 days 21:25:00,1809000
19,0 days 21:48:00,1864000
20,0 days 21:48:00,1864000
21,0 days 21:49:00,1864000
22,0 days 21:49:00,1864000
23,0 days 21:50:00,1864000
24,0 days 22:29:00,1864000
25,0 days 22:29:00,1864000
26,0 days 22:29:00,1864000
27,0 days 22:30:00,1899000
28,0 days 22:31:00,1899000
29,0 days 22:32:00,1899000
30,0 days 23:12:00,1899000
31,0 days 23:31:00,1921000
32,0 days 23:49:00,1921000
33,1 days 00:22:00,1921000
34,1 days 00:38:00,1936000
35,1 days 03:42:00,2044000
36,1 days 03:48:00,2044000
37,1 days 03:50:00,2044000
38,1 days 03:55:00,2044000
39,1 days 04:08:00,2044000
40,1 days 04:16:00,2044000
41,1 days 04:18:00,2044000
42,1 days 04:25:00,2044000
43,1 days 04:27:00,2044000
44,1 days 05:13:00,2086000
45,1 days 05:13:00,2086000
46,1 days 05:16:00,2086000
47,1 days 05:17:00,2086000
48,1 days 05:21:00,2086000
49,1 days 05:56:00,2135000
50,1 days 05:58:00,2135000
51,1 days 06:17:00,2135000
52,1 days 06:42:00,2161000
53,1 days 06:47:00,2161000
54,1 days 06:55:00,2161000
55,1 days 06:58:00,2161000
56,1 days 07:00:00,2161000
57,1 days 14:55:00,2495000
58,1 days 14:56:00,2495000
59,1 days 15:43:00,2537000
60,1 days 15:46:00,2537000
61,1 days 15:52:00,2537000
62,1 days 16:00:00,2537000
63,1 days 16:14:00,2537000
64,1 days 16:15:00,2537000
65,1 days 16:16:00,2537000
66,1 days 16:17:00,2537000
67,1 days 16:18:00,2537000
68,1 days 16:19:00,2537000
69,1 days 16:22:00,2537000
70,1 days 16:24:00,2537000
71,1 days 16:30:00,2582000
72,1 days 16:33:00,2582000
73,1 days 16:56:00,2582000
74,1 days 17:02:00,2582000
75,1 days 17:09:00,2582000
76,1 days 17:15:00,2582000
77,1 days 17:15:00,2582000
78,1 days 17:16:00,2582000
79,1 days 17:19:00,2582000
80,1 days 17:21:00,2582000
81,1 days 17:23:00,2582000
82,1 days 17:24:00,2582000
83,1 days 17:24:00,2582000
84,1 days 17:25:00,2582000
85,1 days 17:26:00,2582000
86,1 days 17:28:00,2582000
87,1 days 17:29:00,2582000
88,1 days 17:30:00,2582000
89,1 days 17:45:00,2595000
90,1 days 18:00:00,2595000
91,1 days 19:00:00,2595000
92,1 days 19:03:00,2595000
93,1 days 19:03:00,2595000
94,1 days 19:06:00,2595000
95,1 days 19:07:00,2595000
96,1 days 19:14:00,2603000
97,1 days 19:14:00,2603000
98,1 days 19:15:00,2603000
99,1 days 19:30:00,2603000
100,1 days 19:45:00,2619000
101,1 days 20:00:00,2619000
102,1 days 20:15:00,2619000
103,1 days 20:30:00,2638000
104,1 days 21:00:00,2638000
105,1 days 21:04:00,2638000
106,1 days 21:04:00,2638000
107,1 days 21:06:00,2638000
108,1 days 21:06:00,2638000
109,1 days 21:15:00,2638000
110,1 days 21:19:00,2638000
111,1 days 21:19:00,2638000
112,1 days 21:21:00,2638000
113,1 days 21:21:00,2638000
114,1 days 21:30:00,2673000
115,1 days 21:34:00,2673000
116,1 days 21:35:00,2673000
117,1 days 21:36:00,2673000
118,1 days 21:45:00,2673000
119,1 days 22:00:00,2673000
120,1 days 22:06:00,2673000
121,1 days 22:06:00,2673000
122,1 days 22:10:00,2673000
123,1 days 22:10:00,2673000
124,1 days 22:14:00,2673000
125,1 days 22:14:00,2673000
126,1 days 22:15:00,2673000
127,1 days 22:15:00,2673000
128,1 days 22:15:00,2673000
129,1 days 22:16:00,2673000
130,1 days 22:16:00,2673000
131,1 days 22:22:00,2673000
132,1 days 22:22:00,2673000
133,1 days 22:22:00,2673000
134,1 days 22:23:00,2673000
135,1 days 22:23:00,2673000
136,1 days 22:23:00,2673000
137,1 days 22:24:00,2673000
138,1 days 22:24:00,2673000
139,1 days 22:24:00,2673000
140,1 days 22:24:00,2673000
141,1 days 22:25:00,2673000
142,1 days 22:25:00,2673000
143,1 days 22:26:00,2673000
144,1 days 22:26:00,2673000
145,1 days 22:30:00,2702000
146,1 days 22:31:00,2702000
147,1 days 22:45:00,2702000
148,1 days 23:00:00,2702000
149,1 days 23:15:00,2702000
150,1 days 23:30:00,2716000
151,1 days 23:45:00,2716000
152,1 days 23:58:00,2716000
153,1 days 23:58:00,2716000
154,2 days 00:00:00,2716000
155,2 days 00:01:00,2716000
156,2 days 00:01:00,2716000
157,2 days 00:15:00,2716000
158,2 days 00:30:00,2721000
159,2 days 00:45:00,2721000
160,2 days 01:00:00,2721000
161,2 days 01:15:00,2721000
162,2 days 01:30:00,2748000
163,2 days 01:45:00,2748000
164,2 days 02:00:00,2748000
165,2 days 02:11:00,2748000
166,2 days 02:11:00,2748000
167,2 days 02:15:00,2748000
168,2 days 02:15:00,2748000
169,2 days 02:15:00,2748000
170,2 days 02:23:00,2748000
171,2 days 02:23:00,2748000
172,2 days 02:28:00,2748000
173,2 days 02:28:00,2748000
174,2 days 02:30:00,2770000
175,2 days 02:33:00,2770000
176,2 days 02:33:00,2770000
177,2 days 02:35:00,2770000
178,2 days 02:35:00,2770000
179,2 days 02:37:00,2770000
180,2 days 02:37:00,2770000
181,2 days 02:39:00,2770000
182,2 days 02:39:00,2770000
183,2 days 02:40:00,2770000
184,2 days 02:40:00,2770000
185,2 days 02:40:00,2770000
186,2 days 02:40:00,2770000
187,2 days 02:42:00,2770000
188,2 days 02:42:00,2770000
189,2 days 02:44:00,2770000
190,2 days 02:44:00,2770000
191,2 days 02:45:00,2770000
192,2 days 03:04:00,2770000
193,2 days 03:04:00,2770000
194,2 days 03:15:00,2770000
195,2 days 03:30:00,2800000
196,2 days 03:45:00,2800000
197,2 days 03:47:00,2800000
198,2 days 04:00:00,2800000
199,2 days 04:15:00,2800000
200,2 days 04:30:00,2822000
201,2 days 04:45:00,2822000
202,2 days 05:00:00,2822000
203,2 days 05:15:00,2822000
204,2 days 05:30:00,2847000
205,2 days 05:45:00,2847000
206,2 days 06:00:00,2847000
207,2 days 06:15:00,2847000
208,2 days 06:30:00,2847000
209,2 days 06:45:00,2847000
210,2 days 07:00:00,2870000
211,2 days 07:15:00,2870000
212,2 days 08:14:00,2870000
213,2 days 08:17:00,2870000
214,2 days 08:30:00,2870000
215,2 days 08:45:00,2870000
216,2 days 09:00:00,2870000
217,2 days 09:15:00,2870000
218,2 days 09:30:00,2887000
219,2 days 09:37:00,2887000
220,2 days 09:45:00,2887000
221,2 days 09:47:00,2887000
222,2 days 09:47:00,2887000
223,2 days 09:48:00,2887000
224,2 days 09:48:00,2887000
225,2 days 09:50:00,2887000
226,2 days 09:50:00,2887000
227,2 days 09:51:00,2887000
228,2 days 09:51:00,2887000
229,2 days 09:57:00,2887000
230,2 days 09:57:00,2887000
231,2 days 10:00:00,2887000
232,2 days 10:01:00,2887000
233,2 days 10:01:00,2887000
234,2 days 10:02:00,2887000
235,2 days 10:02:00,2887000
236,2 days 10:15:00,2887000
237,2 days 10:45:00,2909000
238,2 days 11:00:00,2909000
239,2 days 11:15:00,2909000
240,2 days 11:30:00,2968000
241,2 days 11:45:00,2968000
242,2 days 12:00:00,2968000
243,2 days 12:15:00,2968000
244,2 days 12:30:00,2988000
245,2 days 12:45:00,2988000
